"segment_id","line","mode","src","from","to","len_m","verdict","from_act","to_act","recommendation"
"SEG001","Orange;Pink","metro","fw","Meacham / Mercado N","Mercado","961","ok","2816","10250",""
"SEG002","Orange;Pink","metro","fw","Mercado","Stockyards North","1076","ok","10250","4925",""
"SEG003","Orange;Pink","metro","fw","Stockyards North","Stockyards Main","696","ok","4925","7252",""
"SEG004","Orange;Pink","metro","fw","Stockyards Main","Marine Park","848","ok","7252","7547",""
"SEG005","Orange;Pink","metro","fw","Marine Park","Panther Island - Lagrave","1448","ok","7547","1812",""
"SEG006","Orange;Pink","metro","fw","Panther Island - Lagrave","Panther Island South","782","ok","1812","3026",""
"SEG007","Orange;Pink","metro","fw","Panther Island South","Courthouse","846","ok","3026","46621",""
"SEG008","Teal","metro","fw","Trinity Bluff","Courthouse","668","ok","23827","46621",""
"SEG009","Teal","metro","fw","Six Points","Trinity Bluff","2437","ok","13817","23827",""
"SEG010","Teal;Orange;Pink","metro","fw","Courthouse","Sundance Square","371","too-close","46621","51035","drop 'Courthouse' (act 46621)"
"SEG011","Orange;Pink","metro","fw","Sundance Square","Central Station","757","ok","51035","42667",""
"SEG012","Teal","metro","fw","Sundance Square","TCC Trinity River","803","ok","51035","35785",""
"SEG013","Blue;Orange;Pink;Purple","metro","fw","Central Station","Convention Center","434","too-close","42667","49821","drop 'Convention Center' (act 49821)"
"SEG014","Blue","metro","fw","Butler Place","Central Station","993","ok","3837","42667",""
"SEG015","Orange;Pink;Purple","metro","fw","Convention Center","T&P Station","403","too-close","49821","4927","drop 'T&P Station' (act 4927)"
"SEG016","Orange;Pink","metro","fw","T&P Station","S Main","463","too-close","4927","4927","drop 'T&P Station' (act 4927)"
"SEG017","Purple","metro","fw","T&P Station","Magnolia E","1692","ok","4927","39656",""
"SEG018","Blue","metro","fw","Convention Center","W 7th E","2286","ok","49821","35853",""
"SEG019","Orange;Pink","metro","fw","S Main","S Main S","432","too-close","4927","10038","drop 'S Main' (act 4927)"
"SEG020","Orange","metro","fw","S Main S","Magnolia E","1002","ok","10038","39656",""
"SEG021","Pink","metro","fw","S Main S","John Peter Smith","1078","ok","10038","12763",""
"SEG022","Teal","metro","fw","TCC Trinity River","W 7th E","1287","ok","35785","35853",""
"SEG023","Silver","metro","fw","TCC Trinity River","Hemphill/Berry","5694","wide","35785","8973","infill candidate if demand"
"SEG024","Silver","metro","fw","Fair Oaks","TCC Trinity River","5411","wide","2974","35785","infill candidate if demand"
"SEG025","Teal;Blue","metro","fw","W 7th E","W 7th W","595","too-close","35853","32900","drop 'W 7th W' (act 32900)"
"SEG026","Teal;Blue","metro","fw","W 7th W","Museum Way","666","ok","32900","14037",""
"SEG027","Red","metro","fw","University Park","Museum Way","2026","ok","2506","14037",""
"SEG028","Teal;Blue","metro","fw","Museum Way","Arlington Heights","2807","wide","14037","18564","infill candidate if demand"
"SEG029","Orange;Purple","metro","fw","Magnolia W","Medical City - Baylor","595","too-close","29218","25601","drop 'Medical City - Baylor' (act 25601)"
"SEG030","Orange","metro","fw","Medical City - Baylor","University Park","1462","ok","25601","2506",""
"SEG031","Purple","metro","fw","Medical City - Baylor","TCU","2633","wide","25601","16175","infill candidate if demand"
"SEG032","Orange;Purple","metro","fw","Magnolia E","Magnolia W","735","ok","39656","29218",""
"SEG033","Pink","metro","fw","John Peter Smith","Hemphill/Berry","2534","wide","12763","8973","infill candidate if demand"
"SEG034","Orange;Red","metro","fw","University Park","Stonegate","3207","wide","2506","8710","infill candidate if demand"
"SEG035","Pink","metro","fw","Hemphill/Berry","La Gran Plaza","2277","ok","8973","6809",""
"SEG036","Silver","metro","fw","Hemphill/Berry","Berry / Riverside","2566","wide","8973","2896","infill candidate if demand"
"SEG037","Pink","metro","fw","La Gran Plaza","Everman","6541","wide","6809","4753","infill candidate if demand"
"SEG038","Orange;Red","metro","fw","Stonegate","Clearfork","913","ok","8710","4615",""
"SEG039","Orange;Red","metro","fw","Clearfork","Waterside","2122","ok","4615","9260",""
"SEG040","Red","metro","fw","Benbrook","Waterside","5573","wide","4945","9260","infill candidate if demand"
"SEG041","Orange","metro","fw","Waterside","Hulen Mall","6559","wide","9260","4001","infill candidate if demand"
"SEG042","Teal;Blue","metro","fw","Arlington Heights","Ridglea Hills","2694","wide","18564","7448","infill candidate if demand"
"SEG043","Teal;Blue","metro","fw","Ridglea Hills","Ridgmar","1243","ok","7448","13502",""
"SEG044","Teal;Blue","metro","fw","Ridgmar","Ridgmar Mall / BRT Transfer","1417","ok","13502","1887",""
"SEG045","Teal","metro","fw","Riverside / Race St","Six Points","3386","wide","11989","13817","infill candidate if demand"
"SEG046","Teal","metro","fw","Haltom North","Riverside / Race St","3250","wide","10045","11989","infill candidate if demand"
"SEG047","Teal","metro","fw","Riverside / Race St","Woodhaven","4276","wide","11989","8485","infill candidate if demand"
"SEG048","Blue","metro","fw","Lancaster Ave","Butler Place","641","ok","6894","3837",""
"SEG049","Blue","metro","fw","Polytechnic/Weslyan","Lancaster Ave","3654","wide","7477","6894","infill candidate if demand"
"SEG050","Blue","metro","fw","Oakland Corners","Polytechnic/Weslyan","2285","ok","4653","7477",""
"SEG051","Blue","metro","fw","Handley","Oakland Corners","4279","wide","3917","4653","infill candidate if demand"
"SEG052","Silver","metro","fw","Lake Worth","Fair Oaks","5207","wide","6988","2974","infill candidate if demand"
"SEG053","Silver","metro","fw","Berry / Riverside","Renaissance Sq","1928","ok","2896","4567",""
"SEG054","Silver","metro","fw","Renaissance Sq","Berry / Stalcup","4441","wide","4567","4864","infill candidate if demand"
"SEG055","Purple","metro","fw","TCU","Bluebonnet Circle","1168","ok","16175","8227",""
"SEG056","Orange","metro","fw","Hulen Mall","Altamesa","883","ok","4001","5096",""
"XSEG001","BRT","brt","extra","Stockyards North","BRT","1614","ok","4925","6454",""
"XSEG002","BRT","brt","extra","BRT","Fair Oaks","2355","wide","6454","2974","infill candidate if demand"
"XSEG003","BRT","brt","extra","Fair Oaks","BRT 2","1758","ok","2974","7735",""
"XSEG004","BRT","brt","extra","BRT 2","NAS JRB","2447","wide","7735","2863","infill candidate if demand"
"XSEG005","BRT","brt","extra","NAS JRB","BRT/ Subway","1470","ok","2863","2495",""
"XSEG006","BRT","brt","extra","BRT/ Subway","Ridgmar Mall / BRT Transfer","1359","ok","2495","1887",""
"XSEG007","BRT","brt","extra","Ridgmar Mall / BRT Transfer","The L Word","3387","wide","1887","1286","infill candidate if demand"
"XSEG008","BRT","brt","extra","The L Word","White Settlement","1089","ok","1286","20034",""
"XSEG009","Line 80","brt","extra","Stockyards North","Stop 2","2086","wide","4925","8224","infill candidate if demand"
"XSEG010","Line 80","brt","extra","Stop 2","Haltom City","2086","wide","8224","6386","infill candidate if demand"
"XSEG011","Line 80","brt","extra","Haltom City","Haltom City 2","2086","wide","6386","8726","infill candidate if demand"
"XSEG012","Line 80","brt","extra","Haltom City 2","Haltom North","2086","wide","8726","10045","infill candidate if demand"
"XSEG013","Line 80","brt","extra","Haltom North","Haltom City 3","1925","wide","10045","5710","infill candidate if demand"
"XSEG014","Line 80","brt","extra","Haltom City 3","North Richland Hills","1925","wide","5710","4676","infill candidate if demand"
"XSEG015","Line 80","brt","extra","North Richland Hills","Riverbend","1925","wide","4676","0","infill candidate if demand"
"XSEG016","Line 80","brt","extra","Riverbend","Stop 9","2230","wide","0","1580","infill candidate if demand"
"XSEG017","Line 80","brt","extra","Stop 9","Woodhaven","2230","wide","1580","8485","infill candidate if demand"
"XSEG018","Line 80","brt","extra","Woodhaven","Stop 11","2459","wide","8485","5551","infill candidate if demand"
"XSEG019","Line 80","brt","extra","Stop 11","Handley","2459","wide","5551","3917","infill candidate if demand"
"XSEG020","Line 80","brt","extra","Handley","Stop 13","1951","wide","3917","5438","infill candidate if demand"
"XSEG021","Line 80","brt","extra","Stop 13","Berry/Stalcup","1951","wide","5438","4864","infill candidate if demand"
"XSEG022","Line 80","brt","extra","Berry/Stalcup","Stop 15","2261","wide","4864","6687","infill candidate if demand"
"XSEG023","Line 80","brt","extra","Stop 15","Renaissance Square","2261","wide","6687","4567","infill candidate if demand"
"XSEG024","Line 80","brt","extra","Renaissance Square","Berry/Riverside","2077","wide","4567","2896","infill candidate if demand"
"XSEG025","Line 80","brt","extra","Berry/Riverside","Hemphill/Berry","2566","wide","2896","8973","infill candidate if demand"
"XSEG026","Line 80","brt","extra","Hemphill/Berry","TCU E","2049","wide","8973","16556","infill candidate if demand"
"XSEG027","Line 80","brt","extra","TCU E","Bluebonnet Circle","1479","ok","16556","9433",""
"XSEG028","Line 80","brt","extra","Bluebonnet Circle","Stonegate","2995","wide","9433","8710","infill candidate if demand"
"XSEG029","Line 80","brt","extra","Stonegate","Stop 22","2188","wide","8710","9769","infill candidate if demand"
"XSEG030","Line 80","brt","extra","Stop 22","Waterside","2188","wide","9769","4443","infill candidate if demand"
"XSEG031","Line 80","brt","extra","Waterside","Ridglea Hills","3056","wide","4443","7448","infill candidate if demand"
"XSEG032","Line 80","brt","extra","Ridglea Hills","Stop 25","1768","ok","7448","4597",""
"XSEG033","Line 80","brt","extra","Stop 25","Stop 26","1768","ok","4597","5069",""
"XSEG034","Line 80","brt","extra","Stop 26","Ridgmar Mall / BRT Transfer","1768","ok","5069","1887",""
"XSEG035","NAS JRB BRT","brt","extra","BRT/ Subway","NAS JRB","1862","ok","2495","2863",""
"XSEG036","3","brt","extra","Six Points","Fort Worth","2495","wide","11718","3837","infill candidate if demand"
"XSEG037","3","brt","extra","Fort Worth","Fort Worth 2","2495","wide","3837","5749","infill candidate if demand"
"XSEG038","3","brt","extra","Fort Worth 2","Berry/Riverside","2495","wide","5749","2896","infill candidate if demand"
"XSEG039","3","brt","extra","Berry/Riverside","Forest Hill","1930","wide","2896","6115","infill candidate if demand"
"XSEG040","3","brt","extra","Forest Hill","Forest Hill 2","1929","wide","6115","2928","infill candidate if demand"
"XSEG041","3","brt","extra","Forest Hill 2","Forest Hill 3","1930","wide","2928","3899","infill candidate if demand"
"XSEG042","3","brt","extra","Forest Hill 3","Forest Hill 4","1930","wide","3899","5963","infill candidate if demand"
"XSEG043","Woodhaven direct","brt","extra","Woodhaven direct 1","Woodhaven direct 2","2029","wide","2621","3116","infill candidate if demand"
"XSEG044","Woodhaven direct","brt","extra","Woodhaven direct 2","Haltom City","2029","wide","3116","0","infill candidate if demand"
"XSEG045","Woodhaven direct","brt","extra","Haltom City","Woodhaven direct 4","2029","wide","0","1843","infill candidate if demand"
"XSEG046","Woodhaven direct","brt","extra","Woodhaven direct 4","Fort Worth","2029","wide","1843","3497","infill candidate if demand"
"XSEG047","Woodhaven direct","brt","extra","Fort Worth","Trinity Bluff","2029","wide","3497","43881","infill candidate if demand"
"XSEG048","Woodhaven direct","brt","extra","Trinity Bluff","Convention Center","955","ok","43881","42667",""
"XSEG049","46","brt","extra","Magnolia W","A Stop","1572","ok","26772","40240",""
"XSEG050","46","brt","extra","A Stop","Tandy stop 4","942","ok","40240","35785",""
"XSEG051","46","brt","extra","Tandy stop 4","Fort Worth","1733","ok","35785","3747",""
"XSEG052","46","brt","extra","Fort Worth","Stop 5","1733","ok","3747","1935",""
"XSEG053","46","brt","extra","Stop 5","Fair Oaks","1733","ok","1935","6053",""
"XSEG054","46","brt","extra","Fair Oaks","Stop 7","1791","ok","6053","6048",""
"XSEG055","46","brt","extra","Stop 7","Stop 8","1791","ok","6048","2054",""
"XSEG056","46","brt","extra","Stop 8","Lake Worth","1791","ok","2054","6988",""
"XSEG057","TexPress Expansion","commuter","extra","Fort Worth","Fort Worth 2","3500","ok","4927","14260",""
"XSEG058","TexPress Expansion","commuter","extra","Fort Worth 2","TexPress Expansion 3","3500","ok","14260","10581",""
"XSEG059","TexPress Expansion","commuter","extra","TexPress Expansion 3","TexPress Expansion 4","3500","ok","10581","4685",""
"XSEG060","TexPress Expansion","commuter","extra","TexPress Expansion 4","TexPress Expansion 5","3500","ok","4685","10007",""
"XSEG061","TexPress Expansion","commuter","extra","TexPress Expansion 5","TexPress Expansion 6","3500","ok","10007","1477",""
"XSEG062","TexPress Expansion","commuter","extra","TexPress Expansion 6","TexPress Expansion 7","3500","ok","1477","0",""
"XSEG063","TexRail 3rd exp","commuter","extra","TexRail 3rd exp 1","TexRail 3rd exp 2","3500","ok","11733","5950",""
"XSEG064","TexRail 3rd exp","commuter","extra","TexRail 3rd exp 2","TexRail 3rd exp 3","3500","ok","5950","5986",""
"XSEG065","TexRail 3rd exp","commuter","extra","TexRail 3rd exp 3","TexRail 3rd exp 4","3500","ok","5986","8466",""
"XSEG066","TexRail 3rd exp","commuter","extra","TexRail 3rd exp 4","Crowley","3500","ok","8466","0",""
"XSEG067","SE TexRail","commuter","extra","Fort Worth","SE TexRail 2","3500","ok","0","14572",""
"XSEG068","SE TexRail","commuter","extra","SE TexRail 2","SE TexRail 3","3500","ok","14572","4905",""
"XSEG069","SE TexRail","commuter","extra","SE TexRail 3","Forest Hill","3500","ok","4905","2928",""
"XSEG070","SE TexRail","commuter","extra","Forest Hill","Forest Hill 2","3500","ok","2928","4420",""
"XSEG071","SE TexRail","commuter","extra","Forest Hill 2","SE TexRail 7","7000","ok","4420","3208",""
"XSEG072","SE TexRail","commuter","extra","SE TexRail 7","SE TexRail 8","3500","ok","3208","2984",""
"XSEG073","SE TexRail","commuter","extra","SE TexRail 8","Mansfield","3500","ok","2984","0",""
"XSEG074","FTW/Denton","commuter","extra","Denton","Roanoke","25490","wide","10865","9769",""
"XSEG075","FTW/Denton","commuter","extra","Roanoke","Roanoke 2","2510","ok","9769","550",""
"XSEG076","FTW/Denton","commuter","extra","Roanoke 2","Keller","3500","ok","550","1504",""
"XSEG077","FTW/Denton","commuter","extra","Keller","Keller 2","3500","ok","1504","5827",""
"XSEG078","FTW/Denton","commuter","extra","Keller 2","Watauga","3500","ok","5827","6360",""
"XSEG079","FTW/Denton","commuter","extra","Watauga","Watauga 2","3500","ok","6360","8592",""
"XSEG080","FTW/Denton","commuter","extra","Watauga 2","Haltom City","3500","ok","8592","4104",""
"XSEG199","No Idea","metro","extra","Great Restaurants","Stop 2","1424","ok","18045","18033",""
"XSEG200","No Idea","metro","extra","Stop 2","Irving","2111","ok","18033","9236",""
"XSEG201","No Idea","metro","extra","Irving","Irving 2","2112","ok","9236","13833",""
"XSEG202","No Idea","metro","extra","Irving 2","Irving 3","2112","ok","13833","5395",""
"XSEG203","No Idea","metro","extra","Irving 3","Irving 4","2175","ok","5395","13199",""
"XSEG204","No Idea","metro","extra","Irving 4","Stop 7","2175","ok","13199","0",""
"XSEG205","No Idea","metro","extra","Stop 7","Stop 8","1624","ok","0","0",""
"XSEG206","No Idea","metro","extra","Stop 8","Stop 9","1868","ok","0","2143",""
"XSEG207","No Idea","metro","extra","Stop 9","Bachman Lake","1866","ok","2143","54868",""
"XSEG208","No Idea","metro","extra","Bachman Lake","Design District W","1793","ok","54868","54333",""
"XSEG209","No Idea","metro","extra","Design District W","Design District","1892","ok","54333","5727",""
"XSEG210","No Idea","metro","extra","Design District","Victory","977","ok","5727","35831",""
"XSEG211","DNT Line - West","metro","extra","Hebron","Addison","1869","ok","15362","12083",""
"XSEG212","DNT Line - West","metro","extra","Addison","Addison 2","1869","ok","12083","13131",""
"XSEG213","DNT Line - West","metro","extra","Addison 2","Addison W","1187","ok","13131","11317",""
"XSEG214","DNT Line - West","metro","extra","Addison W","Brookhaven","2704","wide","11317","4228","infill candidate if demand"
"XSEG215","DNT Line - West","metro","extra","Brookhaven","Forest and Marsh","2250","ok","4228","17522",""
"XSEG216","DNT Line - West","metro","extra","Forest and Marsh","Plz","3166","wide","17522","5736","infill candidate if demand"
"XSEG217","DNT Line - West","metro","extra","Plz","NW Highway and Marsh","2146","ok","5736","9510",""
"XSEG218","DNT Line - West","metro","extra","NW Highway and Marsh","Love Field","1903","ok","9510","20378",""
"XSEG219","DNT Line - West","metro","extra","Love Field","DNT 10","1842","ok","20378","3325",""
"XSEG220","DNT Line - West","metro","extra","DNT 10","DNT 11","1842","ok","3325","17344",""
"XSEG221","DNT Line - West","metro","extra","DNT 11","Turtel Creek","1842","ok","17344","32298",""
"XSEG222","DNT Line - West","metro","extra","Turtel Creek","Pearl","1962","ok","32298","79715",""
"XSEG223","DNT Line - West","metro","extra","Pearl","Arts District","953","ok","79715","109471",""
"XSEG224","DNT Line - West","metro","extra","Arts District","Downtown","1540","ok","109471","48440",""
"XSEG225","DNT Line - West","metro","extra","Downtown","South Side","984","ok","48440","6144",""
"XSEG226","DNT Line - West","metro","extra","South Side","DNT 17","3104","wide","6144","5585","infill candidate if demand"
"XSEG227","DNT Line - East","metro","extra","Frisco","Frisco 2","1166","ok","10549","14172",""
"XSEG228","DNT Line - East","metro","extra","Frisco 2","Frisco 3","1957","ok","14172","3045",""
"XSEG229","DNT Line - East","metro","extra","Frisco 3","Frisco 4","1957","ok","3045","10036",""
"XSEG230","DNT Line - East","metro","extra","Frisco 4","Dr pepper ballpark","1957","ok","10036","13148",""
"XSEG231","DNT Line - East","metro","extra","Dr pepper ballpark","DNT 6","1291","ok","13148","33953",""
"XSEG232","DNT Line - East","metro","extra","DNT 6","DNT 7","2246","ok","33953","23676",""
"XSEG233","DNT Line - East","metro","extra","DNT 7","DNT 8","2246","ok","23676","9101",""
"XSEG234","DNT Line - East","metro","extra","DNT 8","Hebron","2246","ok","9101","6911",""
"XSEG235","DNT Line - East","metro","extra","Hebron","Hebron 2","2246","ok","6911","14729",""
"XSEG236","DNT Line - East","metro","extra","Hebron 2","Addison","2368","ok","14729","7471",""
"XSEG237","DNT Line - East","metro","extra","Addison","Addison Circle","2368","ok","7471","53671",""
"XSEG238","DNT Line - East","metro","extra","Addison Circle","Addison E","1177","ok","53671","27350",""
"XSEG239","DNT Line - East","metro","extra","Addison E","Addison 2","1027","ok","27350","5036",""
"XSEG240","DNT Line - East","metro","extra","Addison 2","Addison South","1018","ok","5036","55578",""
"XSEG241","DNT Line - East","metro","extra","Addison South","Galleria","1085","ok","55578","65527",""
"XSEG242","DNT Line - East","metro","extra","Galleria","DNT 17","2536","wide","65527","6176","infill candidate if demand"
"XSEG243","DNT Line - East","metro","extra","DNT 17","DNT 18","1624","ok","6176","4061",""
"XSEG244","DNT Line - East","metro","extra","DNT 18","A famous place","3481","wide","4061","20372","infill candidate if demand"
"XSEG245","DNT Line - East","metro","extra","A famous place","Highland Park Village","3070","wide","20372","11631","infill candidate if demand"
"XSEG246","DNT Line - East","metro","extra","Highland Park Village","Turtel Creek","2806","wide","11631","36109","infill candidate if demand"
"XSEG247","DNT Line - East","metro","extra","Turtel Creek","Uptown","1669","ok","36109","75755",""
"XSEG248","DNT Line - East","metro","extra","Uptown","Arts District","1340","ok","75755","69348",""
"XSEG249","DNT Line - East","metro","extra","Arts District","Downtown","1012","ok","69348","42296",""
"XSEG250","DNT Line - East","metro","extra","Downtown","South Dallas","1132","ok","42296","6144",""
"XSEG251","DNT Line - East","metro","extra","South Dallas","Baylor South","1472","ok","6144","4680",""
"XSEG252","DNT Line - East","metro","extra","Baylor South","Fair Park","811","ok","4680","5130",""
"XSEG253","DNT Line - East","metro","extra","Fair Park","Fair Park 2","1717","ok","5130","6723",""
"XSEG254","DNT Line - East","metro","extra","Fair Park 2","DNT 29","2056","ok","6723","2474",""
"XSEG255","DNT Line - East","metro","extra","DNT 29","DNT 30","2056","ok","2474","6838",""
"XSEG256","DNT Line - East","metro","extra","DNT 30","DNT 31","2056","ok","6838","7334",""
"XSEG257","DNT Line - East","metro","extra","DNT 31","DNT 32","2102","ok","7334","3926",""
"XSEG258","DNT Line - East","metro","extra","DNT 32","DNT 33","2368","ok","3926","11093",""
"XSEG259","DNT Line - East","metro","extra","DNT 33","towne","2152","ok","11093","11313",""
"XSEG260","DNT Line - East","metro","extra","towne","Rowlett","2770","wide","11313","2395","infill candidate if demand"
"XSEG261","Line 76","metro","extra","Mesquite","Mesquite 2","2030","ok","9258","4767",""
"XSEG262","Line 76","metro","extra","Mesquite 2","Mesquite 3","1950","ok","4767","7107",""
"XSEG263","Line 76","metro","extra","Mesquite 3","Stop 4","1950","ok","7107","10445",""
"XSEG264","Line 76","metro","extra","Stop 4","Stop 5","2924","wide","10445","10322","infill candidate if demand"
"XSEG265","Line 76","metro","extra","Stop 5","Stop 6","2003","ok","10322","6838",""
"XSEG266","Line 76","metro","extra","Stop 6","Stop 7","2003","ok","6838","2474",""
"XSEG267","Line 76","metro","extra","Stop 7","Fair Park","2003","ok","2474","6723",""
"XSEG268","Line 76","metro","extra","Fair Park","Wheatley Place Historic District","1688","ok","6723","5130",""
"XSEG269","Line 76","metro","extra","Wheatley Place Historic District","Baylor South","792","ok","5130","4680",""
"XSEG270","Line 76","metro","extra","Baylor South","Cedars East","1049","ok","4680","3641",""
"XSEG271","Line 76","metro","extra","Cedars East","Downtown","1237","ok","3641","24962",""
"XSEG272","Line 76","metro","extra","Downtown","Arts District","1535","ok","24962","109600",""
"XSEG273","Line 76","metro","extra","Arts District","Victory Park","1001","ok","109600","76798",""
"XSEG274","Line 6","metro","extra","Stop 1","Stop 2","2294","ok","4391","4208",""
"XSEG275","Line 6","metro","extra","Stop 2","Stop 3","2294","ok","4208","5790",""
"XSEG276","Line 6","metro","extra","Stop 3","Stop 4","2294","ok","5790","0",""
"XSEG277","Line 6","metro","extra","Stop 4","Stop 5","2294","ok","0","2793",""
"XSEG278","Silver","metro","extra","Berry/Stalcup","Forest Hill","2416","ok","4864","0",""
"XSEG279","Silver","metro","extra","Forest Hill","Forest Hill 2","2416","ok","0","3162",""
"XSEG280","Silver","metro","extra","Forest Hill 2","Lindberg","2416","ok","3162","6679",""
"XSEG281","Silver","metro","extra","Lindberg","Green Oaks and 20","2416","ok","6679","7974",""
"XSEG282","Silver","metro","extra","Green Oaks and 20","Silver 6","2104","ok","7974","5054",""
"XSEG283","Silver","metro","extra","Silver 6","Silver 7","2104","ok","5054","2168",""
"XSEG284","Silver","metro","extra","Silver 7","Parks Mall","2104","ok","2168","8330",""
"XSEG285","Silver","metro","extra","Parks Mall","Arlington Highlands","2639","wide","8330","10099","infill candidate if demand"
"XSEG286","Silver","metro","extra","Arlington Highlands","Silver 10","2461","ok","10099","8263",""
"XSEG287","Silver","metro","extra","Silver 10","Outlet Mall","2461","ok","8263","6363",""
"XSEG288","Silver","metro","extra","Outlet Mall","Silver 12","2075","ok","6363","4369",""
"XSEG289","Silver","metro","extra","Silver 12","North Westchester Meadows","2075","ok","4369","8984",""
